isolate,year,country,host,lineage,accession
ANK-3837,1981,GIN,bat,G,DQ380165
ANK-6087,1984,GIN,bat,G,DQ380166
SPU77/04,2004,NAM,human,G,KY196500
HB1752,1985,CAF,human,G,KJ782452
CAR-R1622,1985,CAF,human,G,DQ380160
ArB1986,1969,CAF,mosquito,G,KJ782455
1853/78,1978,ZWE,cow,G,DQ380168
Zinga,1969,CAF,mosquito,G,DQ380167
Hv-B375,1985,CAF,human,G,DQ380161
SA638/10,2010,ZAF,human,H,MG659953
SA287/10,2010,ZAF,human,H,MG659932
SA79/10,2010,ZAF,human,H,MG659911
SA95/10,2010,ZAF,human,H,MG659915
SA1372/10,2010,ZAF,human,H,MG659970
SA1061/10,2010,ZAF,human,H,MG659959
SA377/10,2010,ZAF,human,H,MG659937
M25/10,2010,ZAF,sheep,H,KX944813
SA395/10,2010,ZAF,human,H,MG659939
SA359/11,2011,ZAF,human,H,MG659981
M260/09,2009,ZAF,cow,H,KX944814
SA770/10,2010,ZAF,human,H,MG659957
M19/10,2010,ZAF,sheep,H,KX944809
SA632/10,2010,ZAF,human,H,MG659950
SPU100/10,2010,ZAF,human,H,MG659917
M16/10,2010,ZAF,sheep,H,KX944806
SA317/10,2010,ZAF,human,H,MG659933
SA494/11,2011,ZAF,human,H,KY196499
SA424/10,2010,ZAF,human,H,MG659942
SA336/10,2010,ZAF,human,H,MG659935
SA633/10,2010,ZAF,human,H,MG659951
SPU97/10,2010,ZAF,human,H,MG659916
M21/10,2010,ZAF,sheep,H,KX944810
SA705/10,2010,ZAF,human,H,MG659955
SPU86/10,2010,ZAF,human,H,MG659913
SA250/10,2010,ZAF,human,H,MG659930
M06/10,2010,ZAF,cow,H,KX944803
SA106/10,2010,ZAF,human,H,MG659919
SA1098/10,2010,ZAF,human,H,MG659964
SA276/10,2010,ZAF,human,H,KY196492
SA1518/10,2010,ZAF,human,H,MG659973
SA103/10,2010,ZAF,human,H,MG659918
SA327/11,2011,ZAF,human,H,MG659979
SA538/10,2010,ZAF,human,H,MG659948
SA1094/10,2010,ZAF,human,H,KY196495
SA1167/10,2010,ZAF,human,H,MG659962
SA135/10,2010,ZAF,human,H,MG659924
M33/10,2010,ZAF,sheep,H,KX944816
SA1796/10,2010,ZAF,human,H,KY196497
SPU126/10,2010,ZAF,human,H,MG659922
SA322/10,2010,ZAF,human,H,MG659934
SA122/10,2010,ZAF,human,H,MG659921
SA982/10,2010,ZAF,human,H,KY196494
SA1092/10,2010,ZAF,human,H,MG659961
SA509/10,2010,ZAF,human,H,MG659946
SA62/10,2010,ZAF,human,H,MG659907
SA389/11,2011,ZAF,human,H,MG659982
SA206/10,2010,ZAF,human,H,MG659926
SA1797/10,2010,ZAF,human,H,MG659975
SA354/11,2011,ZAF,human,H,KY196498
M127/09,2009,ZAF,cow,H,KX944804
SA746/10,2010,ZAF,human,H,MG659956
SA665/10,2010,ZAF,human,H,MG659954
SA220/10,2010,ZAF,human,H,MG659927
SA484/10,2010,ZAF,human,H,MG659945
SA67/11,2011,ZAF,human,H,MG659976
SPU162/10,2010,ZAF,human,H,KY196489
SA93/10,2010,ZAF,human,H,MG659914
SPU105/10,2010,ZAF,human,H,KY196487
SA1224/10,2010,ZAF,human,H,MG659967
M29/10,2010,ZAF,cow,H,KX944815
M247/09,2009,ZAF,sheep,H,KX944811
SA225/10,2010,ZAF,human,H,MG659928
SA394/10,2010,ZAF,human,H,MG659938
SA1601/10,2010,ZAF,human,H,MG659974
SA1222/10,2010,ZAF,human,H,KY196496
SPU404/09,2009,ZAF,human,H,KY196506
SA482/10,2010,ZAF,human,H,MG659944
SA295/11,2011,ZAF,human,H,MG659977
SA257/10,2010,ZAF,human,H,MG659931
M259/09,2009,ZAF,cow,H,KX944812
SA1282/10,2010,ZAF,human,H,MG659968
SA1095/10,2010,ZAF,human,H,MG659963
Namibia_2010,2010,NAM,sheep,H,MT561459
SA414/10,2010,ZAF,human,H,MG659940
SA129/10,2010,ZAF,human,H,KY196488
SA579/11,2011,NAM,human,H,MG659983
SA1329/10,2010,ZAF,human,H,MG659969
SA76/10,2010,ZAF,human,H,MG659910
SA71/10,2010,ZAF,human,H,MG659909
SA85/10,2010,ZAF,human,H,MG659912
SA420/10,2010,ZAF,human,H,MG659941
SA344/10,2010,ZAF,human,H,MG659936
SA1171/10,2010,ZAF,human,H,MG659966
SA320/11,2011,ZAF,human,H,MG659978
SA128/10,2010,ZAF,human,H,MG659923
SA342/11,2011,ZAF,human,H,MG659980
SA1081/10,2010,ZAF,human,H,MG659960
SA535/10,2010,ZAF,human,H,MG659947
SA1405/10,2010,ZAF,human,H,MG659971
SA573/10,2010,ZAF,human,H,KY196493
SA918/10,2010,ZAF,human,H,MG659958
SA110/10,2010,ZAF,human,H,MG659920
SA591/10,2010,ZAF,human,H,MG659949
272660,2015,MRT,human,H,KY366328
M12/10,2010,ZAF,sheep,H,KX944805
SA165/10,2010,ZAF,human,H,MG659925
SA635/10,2010,ZAF,human,H,MG659952
SA226/10,2010,ZAF,human,H,MG659929
SPU59/10,2010,ZAF,human,H,MG659906
SA1457/10,2010,ZAF,human,H,MG659972
SA1143/10,2010,ZAF,human,H,MG659965
SA472/10,2010,ZAF,human,H,MG659943
SA275/10,2010,ZAF,human,H,KY196491
SPU68/10,2010,ZAF,human,H,MG659908
An1830,1956,ZAF,sheep,I,KY196508
Ar74,1955,ZAF,mosquito,I,KY196507
2269/74,1974,ZWE,cow,J,DQ380173
Entebbe,1944,UGA,mosquito,K,DQ380156
SA184/10,2010,ZAF,human,K,KY196490
B314,1962,KEN,cow,K,MG659984
2373/74,1974,ZWE,cow,K,DQ380159
Ar12568,1971,ZAF,bat,L,KY196509
M1955,1955,ZAF,unknown,L,KX944807
M1975/Bov,1975,ZAF,cow,L,KX944808
763/70,1970,ZWE,cow,L,DQ380174
35/74,1974,ZAF,sheep,L,JF784388
SA-75,1975,ZAF,human,L,DQ380175
Kenya 56 (IB8),1965,KEN,cow,L,DQ380176
M57/74,1974,ZAF,unknown,L,KX944821
Lunyo,1955,UGA,mosquito,M,MG659989
Lunyo,1955,UGA,mosquito,M,KU167025
Lunyo,1955,UGA,mosquito,M,MG659989
Lunyo,1955,UGA,mosquito,M,KU167025
Ar 118,1955,ZAF,mosquito,M,MG659905
OS-1,1987,MRT,human,N,DQ380180
ARD-38388,1983,BFA,mosquito,N,DQ380181
HD21955,1975,SEN,human,N,MG659990
OS-8,1987,MRT,human,N,DQ380177
OS-9,1987,MRT,human,N,DQ380179
OS-3,1987,MRT,human,N,DQ380178
SA-51 (Van Wyck),1951,ZAF,sheep,O,DQ380158
