isolate,year,country,host,lineage,accession
2007003081,2007,KEN,cow,C,EU574007
2007000324,2007,TZA,human,C,JF326190
201707025,2017,UGA,human,C,MG972978
Namibia_2011,2011,NAM,springbok,C,MT561464
SPU52/99/1,1999,ZAF,buffalo,C,KY126689
DVS-230,2021,KEN,cow,C,OM744375
2008/00101,2008,MYT,human,C,HE687305
VRL2051/76,1976,ZWE,human,C,MG659900
DVS-372,2021,KEN,cow,C,OM744379
2007000094,2007,KEN,cow,C,EU574029
200803164,2008,MDG,human,C,JF311370
200803169,2008,MDG,cow,C,JF311375
SPU152/08,2008,ZAF,human,C,KY126682
2007000223,2007,KEN,cow,C,EU574027
2007000260,2006,KEN,mosquito,C,JF326188
Saudi 2000-10911,2000,SAU,human,C,DQ375401
Kenya 83 (21445),1983,KEN,mosquito,C,DQ375402
2007001809,2006,KEN,caprine,C,EU574015
M80/08/2,2008,ZAF,cow,C,KX944869
2007002060,2007,KEN,cow,C,EU574013
M47/08,2008,ZAF,cow,C,KX944865
2007001443,2007,KEN,cow,C,EU574018
Sudan 86-2010,2010,SDN,human,C,JQ820484
VRL1290/78,1978,ZWE,cow,C,MG659902
SPU86/09,2009,ZAF,cow,C,KY126683
SA01-1322,2001,SAU,mosquito,C,KX096941
Sudan 2V-2007,2007,SDN,human,C,JQ820483
M37/08,2008,ZAF,buffalo,C,KX944863
2007000618,2007,KEN,cow,C,EU574021
200803162,2008,MDG,human,C,JF311368
2007001811,2006,KEN,caprine,C,EU574014
KEN/Mal-032/07,2007,KEN,human,C,HM586956
M84/08,2008,ZAF,cow,C,KX944870
201601292,2016,UGA,human,C,MG953422
2007002476,2007,KEN,cow,C,EU574010
2007002820,2007,KEN,buffalo,C,EU574008
KEN/Gar-008/06,2006,KEN,human,C,HM586954
73HB1230,1973,CAF,human,D,DQ375425
74HB59,1974,CAF,human,E,DQ375415
1260/78,1978,ZWE,cow,E,DQ375418
73HB1449,1973,CAF,human,E,DQ375416
Ar20364,1981,ZAF,mosquito,F,KY126688
56/74_4255,1974,ZAF,cow,F,OM744400
HB1752,1985,CAF,human,G,KJ782454
ANK-6087,1984,GIN,bat,G,DQ375421
SPU77/04,2004,NAM,human,G,KY126678
CAR-R1622,1985,CAF,human,G,DQ375423
ANK-3837,1981,GIN,bat,G,DQ375420
ArB1986,1969,CAF,mosquito,G,KJ782457
Zinga,1969,CAF,human,G,DQ375419
Hv-B375,1985,CAF,human,G,DQ375422
1853/78,1978,ZWE,cow,G,DQ375424
SA106/10,2010,ZAF,human,H,MG659833
SA287/10,2010,ZAF,human,H,MG659846
SA79/10,2010,ZAF,human,H,MG659825
SA95/10,2010,ZAF,human,H,MG659829
SA1372/10,2010,ZAF,human,H,MG659884
SA1061/10,2010,ZAF,human,H,MG659873
SA377/10,2010,ZAF,human,H,MG659851
M25/10,2010,ZAF,sheep,H,KX944858
SA395/10,2010,ZAF,human,H,MG659853
SA359/11,2011,ZAF,human,H,MG659895
M260/09,2009,ZAF,cow,H,KX944860
SA705/10,2010,ZAF,human,H,MG659869
SA770/10,2010,ZAF,human,H,MG659871
SA632/10,2010,ZAF,human,H,MG659864
SPU100/10,2010,ZAF,human,H,MG659831
M16/10,2010,ZAF,sheep,H,KX944852
SA317/10,2010,ZAF,human,H,MG659847
SA494/11,2011,ZAF,human,H,KY126677
SA424/10,2010,ZAF,human,H,MG659856
SA336/10,2010,ZAF,human,H,MG659849
SA633/10,2010,ZAF,human,H,MG659865
SPU97/10,2010,ZAF,human,H,MG659830
M21/10,2010,ZAF,sheep,H,KX944856
SA638/10,2010,ZAF,human,H,MG659867
M19/10,2010,ZAF,sheep,H,KX944853
M127/09,2009,ZAF,cow,H,KX944851
SA250/10,2010,ZAF,human,H,MG659844
SA746/10,2010,ZAF,human,H,MG659870
SA1098/10,2010,ZAF,human,H,MG659878
SA276/10,2010,ZAF,human,H,KY126670
SA1518/10,2010,ZAF,human,H,MG659887
SA103/10,2010,ZAF,human,H,MG659832
SA327/11,2011,ZAF,human,H,MG659893
SA538/10,2010,ZAF,human,H,MG659862
SA1094/10,2010,ZAF,human,H,KY126673
SA1167/10,2010,ZAF,human,H,MG659876
SA135/10,2010,ZAF,human,H,MG659838
M33/10,2010,ZAF,sheep,H,KX944862
SPU86/10,2010,ZAF,human,H,MG659827
SA1796/10,2010,ZAF,human,H,KY126675
SA322/10,2010,ZAF,human,H,MG659848
SA122/10,2010,ZAF,human,H,MG659835
SA982/10,2010,ZAF,human,H,KY126672
SA1092/10,2010,ZAF,human,H,MG659875
SA509/10,2010,ZAF,human,H,MG659860
SA62/10,2010,ZAF,human,H,MG659821
SA389/11,2011,ZAF,human,H,MG659896
SA206/10,2010,ZAF,human,H,MG659840
SA1797/10,2010,ZAF,human,H,MG659889
SA354/11,2011,ZAF,human,H,KY126676
M06/10,2010,ZAF,cow,H,KX944849
SPU126/10,2010,ZAF,human,H,MG659836
SA1222/10,2010,ZAF,human,H,KY126674
SH327052,2020,SEN,human,H,MZ513012
SA918/10,2010,ZAF,human,H,MG659872
SA67/11,2011,ZAF,human,H,MG659890
SPU162/10,2010,ZAF,human,H,KY126667
SA93/10,2010,ZAF,human,H,MG659828
SPU105/10,2010,ZAF,human,H,KY126665
SA1224/10,2010,ZAF,human,H,MG659881
M29/10,2010,ZAF,cow,H,KX944861
M247/09,2009,ZAF,sheep,H,KX944857
SA225/10,2010,ZAF,human,H,MG659842
SA394/10,2010,ZAF,human,H,MG659852
SA1601/10,2010,ZAF,human,H,MG659888
SA220/10,2010,ZAF,human,H,MG659841
SPU404/09,2009,ZAF,human,H,KY126684
SA482/10,2010,ZAF,human,H,MG659858
SA295/11,2011,ZAF,human,H,MG659891
SA257/10,2010,ZAF,human,H,MG659845
M259/09,2009,ZAF,cow,H,KX944859
SA665/10,2010,ZAF,human,H,MG659868
SA1282/10,2010,ZAF,human,H,MG659882
SA1095/10,2010,ZAF,human,H,MG659877
Namibia_2010,2010,NAM,sheep,H,MT561461
SA414/10,2010,ZAF,human,H,MG659854
SA129/10,2010,ZAF,human,H,KY126666
SA579/11,2011,NAM,human,H,MG659897
SA484/10,2010,ZAF,human,H,MG659859
SA1329/10,2010,ZAF,human,H,MG659883
SA71/10,2010,ZAF,human,H,MG659823
SPU68/10,2010,ZAF,human,H,MG659822
SA344/10,2010,ZAF,human,H,MG659850
SA1171/10,2010,ZAF,human,H,MG659880
SA320/11,2011,ZAF,human,H,MG659892
SA128/10,2010,ZAF,human,H,MG659837
SA342/11,2011,ZAF,human,H,MG659894
SA1081/10,2010,ZAF,human,H,MG659874
SA535/10,2010,ZAF,human,H,MG659861
SA1405/10,2010,ZAF,human,H,MG659885
SA573/10,2010,ZAF,human,H,KY126671
SA110/10,2010,ZAF,human,H,MG659834
SA420/10,2010,ZAF,human,H,MG659855
SA275/10,2010,ZAF,human,H,KY126669
SA591/10,2010,ZAF,human,H,MG659863
272660,2015,MRT,human,H,KY366330
M12/10,2010,ZAF,sheep,H,KX944850
SA165/10,2010,ZAF,human,H,MG659839
SA635/10,2010,ZAF,human,H,MG659866
SA226/10,2010,ZAF,human,H,MG659843
SPU59/10,2010,ZAF,human,H,MG659820
SA1457/10,2010,ZAF,human,H,MG659886
SA1143/10,2010,ZAF,human,H,MG659879
SA472/10,2010,ZAF,human,H,MG659857
SA85/10,2010,ZAF,human,H,MG659826
SH328056,2020,SEN,human,H,MZ513013
SA76/10,2010,ZAF,human,H,MG659824
An1830,1956,ZAF,sheep,I,KY126686
Ar74,1955,ZAF,mosquito,I,KY126685
2269/74,1974,ZWE,cow,J,DQ375434
Entebbe,1944,UGA,mosquito,K,DQ375429
SA184/10,2010,ZAF,human,K,KY126668
B314,1962,KEN,cow,K,MG659898
2373/74,1974,ZWE,cow,K,DQ375432
Ar12568,1971,ZAF,bat,L,KY126687
M1955,1955,ZAF,unknown,L,KX944854
M1975/Bov,1975,ZAF,cow,L,KX944855
763/70,1970,ZWE,cow,L,DQ375426
35/74,1974,ZAF,sheep,L,JF784386
SA-75,1975,ZAF,human,L,DQ375428
Kenya 56 (IB8),1965,KEN,cow,L,DQ375427
M57/74,1974,ZAF,unknown,L,KX944867
Lunyo,1955,UGA,mosquito,M,MG659903
Lunyo,1955,UGA,mosquito,M,KU167027
Lunyo,1955,UGA,mosquito,M,MG659903
Lunyo,1955,UGA,mosquito,M,KU167027
Ar 118,1955,ZAF,mosquito,M,MG659819
OS-1,1987,MRT,human,N,DQ375398
ARD-38388,1983,BFA,mosquito,N,DQ375399
HD21955,1975,SEN,human,N,MG659904
OS-8,1987,MRT,human,N,DQ375395
OS-9,1987,MRT,human,N,DQ375397
OS-3,1987,MRT,human,N,DQ375396
SA-51 (Van Wyck),1951,ZAF,sheep,O,DQ375433
