isolate,year,country,source,lineage,accession
SA538/10,2010,ZAF,human,H,MG659776
SA327/11,2011,ZAF,human,H,MG659807
SA103/10,2010,ZAF,human,H,MG659746
SA1518/10,2010,ZAF,human,H,MG659801
SA276/10,2010,ZAF,human,H,KY126695
SA1098/10,2010,ZAF,human,H,MG659792
Ar74,1955,ZAF,mosquito,I,KY126710
An1830,1956,ZAF,sheep,I,KY126711
25010-24,2010,MRT,camel,J,KM210509
2269/74,1974,ZWE,cow,J,DQ380222
Entebbe,1944,UGA,mosquito,K,DQ380191
SA184/10,2010,ZAF,human,K,KY126693
B314,1962,KEN,cow,K,MG659812
2373/74,1974,ZWE,cow,K,DQ380194
Kenya 56 (IB8),1965,KEN,cow,L,DQ380190
SA-75,1975,ZAF,human,L,DQ380189
35/74,1974,ZAF,sheep,L,JF784387
M57/74,1974,ZAF,unknown,L,KX944844
M1975/Bov,1975,ZAF,cow,L,KX944832
M1955,1955,ZAF,unknown,L,KX944831
Ar12568,1971,ZAF,bat,L,KY126712
763/70,1970,ZWE,cow,L,DQ380188
Lunyo,1955,UGA,mosquito,M,MG659817
Ar 118,1955,ZAF,mosquito,M,MG659733
Lunyo,1955,UGA,mosquito,M,KU167026
ARD-38388,1983,BFA,mosquito,N,DQ380187
HD21955,1975,SEN,human,N,MG659818
OS-8,1987,MRT,human,N,DQ380185
OS-9,1987,MRT,human,N,DQ380183
OS-3,1987,MRT,human,N,DQ380184
OS-1,1987,MRT,human,N,DQ380186
SA-51 (Van Wyck),1951,ZAF,sheep,O,DQ380195
