isolate,year,country,source,lineage,accession
SPU86/09,2009,ZAF,cow,C,KY126708
Kenya 83 (21445),1983,KEN,mosquito,C,DQ380198
Saudi 2000-10911,2000,SAU,human,C,DQ380197
Kenya 9800523,1998,KEN,human,C,DQ380196
201707023,2017,UGA,human,C,MG972976
201707025,2017,UGA,human,C,MG972979
SPU52/99/1,1999,ZAF,buffalo,C,KY126714
Namibia_2011,2011,NAM,springbok,C,MT561463
DVS-230,2021,KEN,cow,C,OM744365
DVS-321,2021,KEN,cow,C,OM744366
DVS-333,2021,KEN,cow,C,OM744367
DVS-356,2021,KEN,cow,C,OM744368
2007002482,2007,KEN,cow,C,EU574035
2007002476,2007,KEN,cow,C,EU574036
2007003081,2007,KEN,cow,C,EU574034
2007002444,2007,KEN,cow,C,EU574038
2007000080,2007,KEN,cow,C,EU574056
2007000094,2007,KEN,cow,C,EU574055
2007000222,2007,KEN,cow,C,EU574054
M39/08,2008,ZAF,buffalo,C,KX944841
2007000224,2007,KEN,cow,C,EU574052
2007000225,2007,KEN,cow,C,EU574051
2007000473,2007,KEN,sheep,C,EU574050
2007000608,2007,KEN,cow,C,EU574049
2007000611,2007,KEN,cow,C,EU574048
2007001107,2007,KEN,cow,C,EU574047
2007001292,2007,KEN,cow,C,EU574046
M47/08,2008,ZAF,cow,C,KX944842
2007001443,2007,KEN,cow,C,EU574045
2007001564,2007,KEN,cow,C,EU574044
2007001602,2007,KEN,cow,C,EU574043
2007000618,2007,KEN,cow,C,EU574042
2007001809,2006,KEN,caprine,C,EU574041
2007001811,2006,KEN,caprine,C,EU574040
2007002060,2007,KEN,cow,C,EU574039
2007002445,2007,KEN,cow,C,EU574037
73HB1230,1973,CAF,human,D,DQ380221
74HB59,1974,CAF,human,E,DQ380212
1260/78,1978,ZWE,cow,E,DQ380214
73HB1449,1974,CAF,human,E,DQ380211
Ar20364,1981,ZAF,mosquito,F,KY126713
56/74_4255,1974,ZAF,cow,F,OM744401
ANK-6087,1984,GIN,bat,G,DQ380216
ANK-3837,1981,GIN,bat,G,DQ380215
SA67/11,2011,ZAF,human,H,MG659804
SA770/10,2010,ZAF,human,H,MG659785
SA746/10,2010,ZAF,human,H,MG659784
SA705/10,2010,ZAF,human,H,MG659783
SA665/10,2010,ZAF,human,H,MG659782
SA638/10,2010,ZAF,human,H,MG659781
SA635/10,2010,ZAF,human,H,MG659780
SA633/10,2010,ZAF,human,H,MG659779
SA632/10,2010,ZAF,human,H,MG659778
SA591/10,2010,ZAF,human,H,MG659777
SA538/10,2010,ZAF,human,H,MG659776
SA535/10,2010,ZAF,human,H,MG659775
SA509/10,2010,ZAF,human,H,MG659774
SA482/10,2010,ZAF,human,H,MG659772
SA472/10,2010,ZAF,human,H,MG659771
SA424/10,2010,ZAF,human,H,MG659770
SA420/10,2010,ZAF,human,H,MG659769
SA414/10,2010,ZAF,human,H,MG659768
SA395/10,2010,ZAF,human,H,MG659767
SA394/10,2010,ZAF,human,H,MG659766
SA377/10,2010,ZAF,human,H,MG659765
SA344/10,2010,ZAF,human,H,MG659764
SA336/10,2010,ZAF,human,H,MG659763
SA322/10,2010,ZAF,human,H,MG659762
SA484/10,2010,ZAF,human,H,MG659773
SA918/10,2010,ZAF,human,H,MG659786
Namibia_2010,2010,NAM,sheep,H,MT561460
SA1061/10,2010,ZAF,human,H,MG659787
SA295/11,2011,ZAF,human,H,MG659805
SA320/11,2011,ZAF,human,H,MG659806
SA327/11,2011,ZAF,human,H,MG659807
SA1601/10,2010,ZAF,human,H,MG659802
SA1518/10,2010,ZAF,human,H,MG659801
SA1457/10,2010,ZAF,human,H,MG659800
SA1405/10,2010,ZAF,human,H,MG659799
SA1372/10,2010,ZAF,human,H,MG659798
SA1329/10,2010,ZAF,human,H,MG659797
SA1282/10,2010,ZAF,human,H,MG659796
SA342/11,2011,ZAF,human,H,MG659808
SA1224/10,2010,ZAF,human,H,MG659795
SA1171/10,2010,ZAF,human,H,MG659794
SA1143/10,2010,ZAF,human,H,MG659793
SA1098/10,2010,ZAF,human,H,MG659792
SA1095/10,2010,ZAF,human,H,MG659791
SA359/11,2011,ZAF,human,H,MG659809
SA389/11,2011,ZAF,human,H,MG659810
SA579/11,2011,NAM,human,H,MG659811
SA317/10,2010,ZAF,human,H,MG659761
SA1167/10,2010,ZAF,human,H,MG659790
SA1092/10,2010,ZAF,human,H,MG659789
SA1081/10,2010,ZAF,human,H,MG659788
SA1797/10,2010,ZAF,human,H,MG659803
SA287/10,2010,ZAF,human,H,MG659760
SA982/10,2010,ZAF,human,H,KY126697
SA250/10,2010,ZAF,human,H,MG659758
SA494/11,2011,ZAF,human,H,KY126702
SA354/11,2011,ZAF,human,H,KY126701
SA1796/10,2010,ZAF,human,H,KY126700
SA1222/10,2010,ZAF,human,H,KY126699
SA1094/10,2010,ZAF,human,H,KY126698
SA257/10,2010,ZAF,human,H,MG659759
SA276/10,2010,ZAF,human,H,KY126695
SA275/10,2010,ZAF,human,H,KY126694
SPU162/10,2010,ZAF,human,H,KY126692
SA129/10,2010,ZAF,human,H,KY126691
SPU105/10,2010,ZAF,human,H,KY126690
M33/10,2010,ZAF,sheep,H,KX944839
M29/10,2010,ZAF,cow,H,KX944838
M260/09,2009,ZAF,cow,H,KX944837
M259/09,2009,ZAF,cow,H,KX944836
M25/10,2010,ZAF,sheep,H,KX944835
M247/09,2009,ZAF,sheep,H,KX944834
M21/10,2010,ZAF,sheep,H,KX944833
M19/10,2010,ZAF,sheep,H,KX944830
M16/10,2010,ZAF,sheep,H,KX944829
M127/09,2009,ZAF,cow,H,KX944828
M12/10,2010,ZAF,sheep,H,KX944827
M06/10,2010,ZAF,cow,H,KX944826
SPU404/09,2009,ZAF,human,H,KY126709
272660,2015,MRT,human,H,KY366329
SA573/10,2010,ZAF,human,H,KY126696
SA128/10,2010,ZAF,human,H,MG659751
SA135/10,2010,ZAF,human,H,MG659752
SA220/10,2010,ZAF,human,H,MG659755
SPU126/10,2010,ZAF,human,H,MG659750
SA122/10,2010,ZAF,human,H,MG659749
SA110/10,2010,ZAF,human,H,MG659748
SA106/10,2010,ZAF,human,H,MG659747
SA103/10,2010,ZAF,human,H,MG659746
SA226/10,2010,ZAF,human,H,MG659757
SPU100/10,2010,ZAF,human,H,MG659745
SPU97/10,2010,ZAF,human,H,MG659744
SA95/10,2010,ZAF,human,H,MG659743
SA225/10,2010,ZAF,human,H,MG659756
SA93/10,2010,ZAF,human,H,MG659742
SPU86/10,2010,ZAF,human,H,MG659741
SA85/10,2010,ZAF,human,H,MG659740
SA79/10,2010,ZAF,human,H,MG659739
SA76/10,2010,ZAF,human,H,MG659738
SA71/10,2010,ZAF,human,H,MG659737
SPU68/10,2010,ZAF,human,H,MG659736
SA62/10,2010,ZAF,human,H,MG659735
SPU59/10,2010,ZAF,human,H,MG659734
SA206/10,2010,ZAF,human,H,MG659754
SA165/10,2010,ZAF,human,H,MG659753
Ar74,1955,ZAF,mosquito,I,KY126710
An1830,1956,ZAF,sheep,I,KY126711
2269/74,1974,ZWE,cow,J,DQ380222
B314,1962,KEN,cow,K,MG659812
2373/74,1974,ZWE,cow,K,DQ380194
SA184/10,2010,ZAF,human,K,KY126693
Entebbe,1944,UGA,mosquito,K,DQ380191
Kenya 56 (IB8),1965,KEN,cow,L,DQ380190
SA-75,1975,ZAF,human,L,DQ380189
763/70,1970,ZWE,cow,L,DQ380188
Ar12568,1971,ZAF,bat,L,KY126712
M1955,1955,ZAF,unknown,L,KX944831
M1975/Bov,1975,ZAF,cow,L,KX944832
M57/74,1974,ZAF,unknown,L,KX944844
35/74,1974,ZAF,sheep,L,JF784387
Ar 118,1955,ZAF,mosquito,M,MG659733
HD21955,1975,SEN,human,N,MG659818
OS-1,1987,MRT,human,N,DQ380186
OS-8,1987,MRT,human,N,DQ380185
OS-3,1987,MRT,human,N,DQ380184
OS-9,1987,MRT,human,N,DQ380183
SA-51 (Van Wyck),1951,ZAF,sheep,O,DQ380195
